10248;VINET;5;04/07/2006;01/08/2006;16/07/2006;3;032380;Reims         ;Franca     
10249;TOMSP;6;05/07/2006;16/08/2006;10/07/2006;1;011610;Munster       ;Alemanha   
10250;HANAR;4;08/07/2006;05/08/2006;12/07/2006;2;065830;Rio de Janeiro;Brasil     
10251;VICTE;3;08/07/2006;05/08/2006;15/07/2006;1;041340;Lyon          ;Franca     
10252;SUPRD;4;09/07/2006;06/08/2006;11/07/2006;2;051300;Charleroi     ;Belgica    
10253;HANAR;3;10/07/2006;24/07/2006;16/07/2006;2;058170;Rio de Janeiro;Brasil     
10254;CHOPS;5;11/07/2006;08/08/2006;23/07/2006;2;022980;Bern          ;Suica      
10255;RICSU;9;12/07/2006;09/08/2006;15/07/2006;3;148330;Geneve        ;Suica      
10256;WELLI;3;15/07/2006;12/08/2006;17/07/2006;2;013970;Resende       ;Brasil     
10257;HILAA;4;16/07/2006;13/08/2006;22/07/2006;3;081910;San Cristobal ;Venezuela  
10258;ERNSH;1;17/07/2006;14/08/2006;23/07/2006;1;140510;Graz          ;Austria    
10259;CENTC;4;18/07/2006;15/08/2006;25/07/2006;3;003250;Mexico D.F.   ;Mexico     
10260;OTTIK;4;19/07/2006;16/08/2006;29/07/2006;1;055090;Koln          ;Alemanha   
10261;QUEDE;4;19/07/2006;16/08/2006;30/07/2006;2;003050;Rio de Janeiro;Brasil     
10262;RATTC;8;22/07/2006;19/08/2006;25/07/2006;3;048290;Albuquerque   ;EUA        
10263;ERNSH;9;23/07/2006;20/08/2006;31/07/2006;3;146060;Graz          ;Austria    
10264;FOLKO;6;24/07/2006;21/08/2006;23/08/2006;3;003670;Brocke        ;Suecia     
10265;BLONP;2;25/07/2006;22/08/2006;12/08/2006;1;055280;Strasbourg    ;Franca     
10266;WARTH;3;26/07/2006;06/09/2006;31/07/2006;3;025730;Oulu          ;Finlandia  
10267;FRANK;4;29/07/2006;26/08/2006;06/08/2006;1;208580;Munchen       ;Alemanha   
10268;GROSR;8;30/07/2006;27/08/2006;02/08/2006;3;066290;Caracas       ;Venezuela  
10269;WHITC;5;31/07/2006;14/08/2006;09/08/2006;1;004560;Seattle       ;EUA        
10270;WARTH;1;01/08/2006;29/08/2006;02/08/2006;1;136540;Oulu          ;Finlandia  
10271;SPLIR;6;01/08/2006;29/08/2006;30/08/2006;2;004540;Lander        ;EUA        
10272;RATTC;6;02/08/2006;30/08/2006;06/08/2006;2;098030;Albuquerque   ;EUA        
10273;QUICK;3;05/08/2006;02/09/2006;12/08/2006;3;076070;Cunewalde     ;Alemanha   
10274;VINET;6;06/08/2006;03/09/2006;16/08/2006;1;006010;Reims         ;Franca     
10275;MAGAA;1;07/08/2006;04/09/2006;09/08/2006;1;026930;Bergamo       ;Italia     
10276;TORTU;8;08/08/2006;22/08/2006;14/08/2006;3;013840;Mexico D.F.   ;Mexico     
